source_video,colony,colony_treatment,newcomer_MC_n,newcomer_MD_n,newcomer_ratio,treatment_group,pair,tag_1,class_1,possible_original_tags_1,tag_2,class_2,possible_original_tags_2,interaction_type,cooccurrence_frames,interaction_frames
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-10,1,MD,1,10,MC,10,MCMD,636,3
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-11,1,MD,1,11,MC,11,MCMD,1045,0
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-12,1,MD,1,12,MC,12,MCMD,400,1
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-13,1,MD,1,13,MD,13,MDMD,1526,0
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-16,1,MD,1,16,H,91,HMD,2234,15
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-17,1,MD,1,17,Q,17,MDQ,451,38
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-18,1,MD,1,18,H,81,HMD,1228,50
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-2,1,MD,1,2,MD,2,MDMD,307,177
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-3,1,MD,1,3,MD,3,MDMD,635,3
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-4,1,MD,1,4,MD,4,MDMD,2,1
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-5,1,MD,1,5,MD,5,MDMD,533,3
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-6,1,MD,1,6,MD,6,MDMD,2314,34
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-65,1,MD,1,65,H,65,HMD,669,42
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-66,1,MD,1,66,H,66,HMD,333,5
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-68,1,MD,1,68,H,"68,89",HMD,1712,28
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-69,1,MD,1,69,H,69,HMD,127,1
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-74,1,MD,1,74,H,74,HMD,757,2
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-75,1,MD,1,75,H,75,HMD,1877,56
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-76,1,MD,1,76,H,76,HMD,1678,35
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-79,1,MD,1,79,H,79,HMD,1078,24
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-80,1,MD,1,80,H,80,HMD,3682,46
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-82,1,MD,1,82,H,82,HMD,3476,28
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-84,1,MD,1,84,H,84,HMD,209,13
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-88,1,MD,1,88,H,88,HMD,220,1
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-90,1,MD,1,90,H,90,HMD,121,0
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-92,1,MD,1,92,H,92,HMD,1425,10
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-93,1,MD,1,93,H,93,HMD,514,0
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-94,1,MD,1,94,H,94,HMD,1334,12
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-95,1,MD,1,95,H,95,HMD,475,17
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,10-11,10,MC,10,11,MC,11,MCMC,637,48
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,10-12,10,MC,10,12,MC,12,MCMC,201,1
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,10-13,10,MC,10,13,MD,13,MCMD,641,0
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,10-16,10,MC,10,16,H,91,HMC,365,25
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,10-17,10,MC,10,17,Q,17,MCQ,180,1
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,10-18,10,MC,10,18,H,81,HMC,336,5
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,10-2,10,MC,10,2,MD,2,MCMD,89,1
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,10-3,10,MC,10,3,MD,3,MCMD,467,0
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,10-4,10,MC,10,4,MD,4,MCMD,1,0
XZ_batch1_colony4_260509_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,10-5,10,MC,10,5,MD,5,MCMD,174,0
