source_video,colony,colony_treatment,newcomer_MC_n,newcomer_MD_n,newcomer_ratio,treatment_group,pair,tag_1,class_1,possible_original_tags_1,tag_2,class_2,possible_original_tags_2,interaction_type,cooccurrence_frames,interaction_frames
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-100,1,MD,1,100,MD,100,MDMD,1522,7
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-13,1,MD,1,13,H,13,HMD,127,0
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-16,1,MD,1,16,MC,91,MCMD,684,2
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-19,1,MD,1,19,H,19,HMD,498,0
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-27,1,MD,1,27,H,27,HMD,1018,0
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-28,1,MD,1,28,H,28,HMD,1129,12
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-3,1,MD,1,3,MD,3,MDMD,467,11
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-31,1,MD,1,31,H,31,HMD,657,5
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-32,1,MD,1,32,H,32,HMD,1367,2
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-33,1,MD,1,33,H,33,HMD,607,20
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-34,1,MD,1,34,H,34,HMD,656,3
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-35,1,MD,1,35,H,35,HMD,377,0
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-36,1,MD,1,36,H,36,HMD,1136,30
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-39,1,MD,1,39,H,39,HMD,735,35
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-4,1,MD,1,4,MD,4,MDMD,1237,1
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-40,1,MD,1,40,H,40,HMD,811,0
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-50,1,MD,1,50,H,50,HMD,1581,8
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-51,1,MD,1,51,H,51,HMD,1175,291
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-55,1,MD,1,55,H,55,HMD,149,0
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-56,1,MD,1,56,H,56,HMD,12,0
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-59,1,MD,1,59,H,59,HMD,273,0
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-60,1,MD,1,60,H,60,HMD,750,17
XZ_batch2_colony10_260607_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-69,1,MD,1,69,H,69,HMD,682,7
