source_video,colony,colony_treatment,newcomer_MC_n,newcomer_MD_n,newcomer_ratio,treatment_group,pair,tag_1,class_1,possible_original_tags_1,tag_2,class_2,possible_original_tags_2,interaction_type,cooccurrence_frames,interaction_frames
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-10,1,MD,1,10,MC,10,MCMD,268,4
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-11,1,MD,1,11,MC,11,MCMD,230,9
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-12,1,MD,1,12,MC,12,MCMD,1046,268
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-13,1,MD,1,13,MD,13,MDMD,1017,18
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-16,1,MD,1,16,H,91,HMD,940,14
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-17,1,MD,1,17,Q,17,MDQ,273,3
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-18,1,MD,1,18,H,81,HMD,1095,20
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-2,1,MD,1,2,MD,2,MDMD,80,2
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-3,1,MD,1,3,MD,3,MDMD,131,9
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-4,1,MD,1,4,MD,4,MDMD,3,0
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-5,1,MD,1,5,MD,5,MDMD,706,113
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-6,1,MD,1,6,MD,6,MDMD,1274,42
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-65,1,MD,1,65,H,65,HMD,567,0
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-66,1,MD,1,66,H,66,HMD,167,1
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-68,1,MD,1,68,H,"68,89",HMD,1331,15
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-69,1,MD,1,69,H,69,HMD,92,1
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-74,1,MD,1,74,H,74,HMD,143,18
XZ_batch1_colony4_260511_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-75,1,MD,1,75,H,75,HMD,2174,167
