source_video,colony,colony_treatment,newcomer_MC_n,newcomer_MD_n,newcomer_ratio,treatment_group,pair,tag_1,class_1,possible_original_tags_1,tag_2,class_2,possible_original_tags_2,interaction_type,cooccurrence_frames,interaction_frames
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-10,1,MD,1,10,MC,10,MCMD,631,58
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-11,1,MD,1,11,MC,11,MCMD,716,2
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-12,1,MD,1,12,MC,12,MCMD,14,0
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-13,1,MD,1,13,MD,13,MDMD,324,10
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-16,1,MD,1,16,H,91,HMD,75,5
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-17,1,MD,1,17,Q,17,MDQ,77,68
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-18,1,MD,1,18,H,81,HMD,804,38
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-2,1,MD,1,2,MD,2,MDMD,16,0
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-3,1,MD,1,3,MD,3,MDMD,194,20
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-5,1,MD,1,5,MD,5,MDMD,315,0
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-6,1,MD,1,6,MD,6,MDMD,250,40
XZ_batch1_colony4_260510_1_crop_final_with_model_head_tail_1interval,colony4,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-65,1,MD,1,65,H,65,HMD,92,1
