source_video,colony,colony_treatment,newcomer_MC_n,newcomer_MD_n,newcomer_ratio,treatment_group,pair,tag_1,class_1,possible_original_tags_1,tag_2,class_2,possible_original_tags_2,interaction_type,cooccurrence_frames,interaction_frames
XZ_batch2_colony8_260602_1_crop_final_with_model_head_tail_1interval,colony8,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,11-14,11,H,11,14,H,14,HH,669,5
XZ_batch2_colony8_260602_1_crop_final_with_model_head_tail_1interval,colony8,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,11-19,11,H,11,19,H,19,HH,1170,70
XZ_batch2_colony8_260602_1_crop_final_with_model_head_tail_1interval,colony8,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,11-23,11,H,11,23,H,23,HH,421,1
XZ_batch2_colony8_260602_1_crop_final_with_model_head_tail_1interval,colony8,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,11-25,11,H,11,25,H,25,HH,817,5
XZ_batch2_colony8_260602_1_crop_final_with_model_head_tail_1interval,colony8,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,11-29,11,H,11,29,H,29,HH,435,39
XZ_batch2_colony8_260602_1_crop_final_with_model_head_tail_1interval,colony8,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,11-30,11,H,11,30,H,30,HH,366,15
XZ_batch2_colony8_260602_1_crop_final_with_model_head_tail_1interval,colony8,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,11-31,11,H,11,31,H,31,HH,431,1
XZ_batch2_colony8_260602_1_crop_final_with_model_head_tail_1interval,colony8,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,11-33,11,H,11,33,H,33,HH,136,4
XZ_batch2_colony8_260602_1_crop_final_with_model_head_tail_1interval,colony8,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,11-34,11,H,11,34,H,34,HH,267,2
XZ_batch2_colony8_260602_1_crop_final_with_model_head_tail_1interval,colony8,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,11-35,11,H,11,35,H,35,HH,246,1
