source_video,colony,colony_treatment,newcomer_MC_n,newcomer_MD_n,newcomer_ratio,treatment_group,pair,tag_1,class_1,possible_original_tags_1,tag_2,class_2,possible_original_tags_2,interaction_type,cooccurrence_frames,interaction_frames
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-100,1,MD,1,100,MD,100,MDMD,1012,2
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-13,1,MD,1,13,H,13,HMD,1941,227
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-16,1,MD,1,16,MC,91,MCMD,1923,70
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-19,1,MD,1,19,H,19,HMD,883,58
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-27,1,MD,1,27,H,27,HMD,785,37
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-28,1,MD,1,28,H,28,HMD,921,1
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-3,1,MD,1,3,MD,3,MDMD,2075,35
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-31,1,MD,1,31,H,31,HMD,1874,2
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-32,1,MD,1,32,H,32,HMD,1751,93
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-33,1,MD,1,33,H,33,HMD,924,10
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-34,1,MD,1,34,H,34,HMD,412,0
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-35,1,MD,1,35,H,35,HMD,1357,16
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-36,1,MD,1,36,H,36,HMD,530,0
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-39,1,MD,1,39,H,39,HMD,1305,4
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-4,1,MD,1,4,MD,4,MDMD,922,51
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-40,1,MD,1,40,H,40,HMD,1147,35
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-50,1,MD,1,50,H,50,HMD,762,19
XZ_batch2_colony10_260606_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-51,1,MD,1,51,H,51,HMD,730,44
