source_video,colony,colony_treatment,newcomer_MC_n,newcomer_MD_n,newcomer_ratio,treatment_group,pair,tag_1,class_1,possible_original_tags_1,tag_2,class_2,possible_original_tags_2,interaction_type,cooccurrence_frames,interaction_frames
XZ_batch2_colony10_260604_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-100,1,MD,1,100,MD,100,MDMD,422,9
XZ_batch2_colony10_260604_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-13,1,MD,1,13,H,13,HMD,824,117
XZ_batch2_colony10_260604_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-16,1,MD,1,16,MC,91,MCMD,704,28
XZ_batch2_colony10_260604_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-19,1,MD,1,19,H,19,HMD,348,1
XZ_batch2_colony10_260604_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-27,1,MD,1,27,H,27,HMD,1722,1
XZ_batch2_colony10_260604_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-28,1,MD,1,28,H,28,HMD,490,9
XZ_batch2_colony10_260604_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-3,1,MD,1,3,MD,3,MDMD,607,0
XZ_batch2_colony10_260604_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-31,1,MD,1,31,H,31,HMD,1470,2
XZ_batch2_colony10_260604_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-32,1,MD,1,32,H,32,HMD,1884,3
XZ_batch2_colony10_260604_1_crop_final_with_model_head_tail_1interval,colony10,Sucrose,3,7,MC3_MD7,Sucrose_MC3_MD7,1-33,1,MD,1,33,H,33,HMD,450,3
