source_video,colony,colony_treatment,newcomer_MC_n,newcomer_MD_n,newcomer_ratio,treatment_group,pair,tag_1,class_1,possible_original_tags_1,tag_2,class_2,possible_original_tags_2,interaction_type,cooccurrence_frames,interaction_frames
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-10,1,H,1,10,H,10,HH,4540,1057
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-12,1,H,1,12,H,12,HH,599,3
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-15,1,H,1,15,H,15,HH,865,31
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-16,1,H,1,16,H,91,HH,1341,72
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-18,1,H,1,18,H,81,HH,2886,11
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-2,1,H,1,2,H,2,HH,3139,138
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-20,1,H,1,20,Q,20,HQ,3224,43
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-27,1,H,1,27,MC,27,HMC,1195,21
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-3,1,H,1,3,H,3,HH,1550,32
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-4,1,H,1,4,H,4,HH,2151,44
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-40,1,H,1,40,MC,40,HMC,1101,5
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-42,1,H,1,42,MC,42,HMC,1524,28
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-44,1,H,1,44,MC,44,HMC,2414,129
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-45,1,H,1,45,MC,45,HMC,2581,0
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-47,1,H,1,47,MC,47,HMC,1068,0
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-5,1,H,1,5,H,5,HH,2789,278
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-50,1,H,1,50,MC,50,HMC,470,1
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-51,1,H,1,51,MD,51,HMD,6,1
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-52,1,H,1,52,MD,52,HMD,382,42
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-58,1,H,1,58,MD,58,HMD,2202,24
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-68,1,H,1,68,H,89,HH,1315,17
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-74,1,H,1,74,H,74,HH,3786,125
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-79,1,H,1,79,H,79,HH,1001,31
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-82,1,H,1,82,H,82,HH,4204,107
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-83,1,H,1,83,H,83,HH,567,51
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-85,1,H,1,85,H,85,HH,1181,12
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-86,1,H,1,86,H,86,HH,4292,125
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-92,1,H,1,92,H,92,HH,913,73
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-95,1,H,1,95,H,95,HH,626,4
XZ_batch2_colony9_260604_1_crop_final_with_model_head_tail_1interval,colony9,Sucrose,7,3,MC7_MD3,Sucrose_MC7_MD3,1-96,1,H,1,96,H,96,HH,2684,0
