source_video,colony,colony_treatment,newcomer_MC_n,newcomer_MD_n,newcomer_ratio,treatment_group,pair,tag_1,class_1,possible_original_tags_1,tag_2,class_2,possible_original_tags_2,interaction_type,cooccurrence_frames,interaction_frames
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-15,10,H,10,15,Q,15,HQ,11,0
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-2,10,H,10,2,H,2,HH,27,0
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-42,10,H,10,42,MD,42,HMD,4,0
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-43,10,H,10,43,MD,43,HMD,8,0
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-44,10,H,10,44,MD,44,HMD,5,0
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-45,10,H,10,45,MD,45,HMD,2,0
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-46,10,H,10,46,MD,46,HMD,22,0
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-47,10,H,10,47,MD,47,HMD,1,0
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-66,10,H,10,66,H,99,HH,1,0
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-79,10,H,10,79,H,79,HH,17,1
XZ_batch1_colony1_260508_1_crop_final_with_model_head_tail_1interval,colony1,Antibiotic,3,7,MC3_MD7,Antibiotic_MC3_MD7,10-80,10,H,10,80,H,80,HH,16,1
